Metric group,Metric,Direction,Reference score,latxa_8b_instruct | P0 translation score,latxa_8b_instruct | P4 SFT translation score,latxa_8b_instruct | P5 GRPO A1 translation score,latxa_8b_instruct | P5 GRPO A2 translation score,latxa_8b_instruct | P5 GRPO A5 translation score,salamandrata_7b_instruct | P0 translation score,salamandrata_7b_instruct | P4 SFT translation score,salamandrata_7b_instruct | P5 GRPO A1 translation score,salamandrata_7b_instruct | P5 GRPO A2 translation score,salamandrata_7b_instruct | P5 GRPO A3v2 translation score,salamandrata_7b_instruct | P5 GRPO A3v5 translation score,salamandrata_7b_instruct | P5 GRPO A5 translation score
Adequacy,bleu,higher is better,,43.756113642911586,49.750791924943826,50.02247604571135,49.77091486832408,50.4173729855741,58.4658071565786,57.64261860129952,58.114515954421805,57.10383688921662,57.80939676407578,49.49495159616461,58.08400557630572
Adequacy,chrf pp,higher is better,,66.58040906460836,70.76666019198275,71.29961941185535,71.19126373169424,71.35391501658144,76.28173268726157,76.38782828157696,76.72143733954032,76.19338454553703,76.51576857159309,71.97208905977298,76.76352095610794
Adequacy,comet,higher is better,,0.8833658911650806,0.9034784185914042,0.9083545575147438,0.9079087765891701,0.9040223489366386,0.9205204086624552,0.9160966449989797,0.9168085968964614,0.9165321448839457,0.9168537712705661,0.8893308194565939,0.9161032009567296
Adequacy,comet qe,higher is better,0.8091541419449649,0.774354423973234,0.8000246205663183,0.8119611832250575,0.8136810888719946,0.8023111384076751,0.8278723343895649,0.8079644277207813,0.8131860967751445,0.8131587386580742,0.8140093084174077,0.781883355774625,0.8105619823745951
Adequacy,cometkiwi,higher is better,0.8091541419449649,0.774354423973234,0.8000246205663183,0.8119611832250575,0.8136810888719946,0.8023111384076751,0.8278723343895649,0.8079644277207813,0.8131860967751445,0.8131587386580742,0.8140093084174077,0.781883355774625,0.8105619823745951
Adequacy,metricx,lower is better,,3.391804985823045,2.5515472382099613,2.2166271675767035,2.233439772214801,2.5039785831406056,1.7043518661899522,2.1081248262849597,2.0426482625668676,2.0227748088175623,2.011946595980507,2.5985523235493635,2.0859877849192188
Adequacy,ter,lower is better,,41.45788123890314,34.94772144407181,35.00690471493391,35.56914578812389,34.306569343065696,29.02939435786151,28.960347208522393,28.684158611165913,29.769185243637796,28.950483330045373,37.30518840007891,28.37837837837838
Adequacy,xcomet,higher is better,,0.886260422365848,0.9301196449455695,0.9445339848574795,0.9448642259822367,0.9333614909593577,0.9665208799794766,0.9509382785196371,0.9578518144907365,0.9544525147175844,0.9561104216459456,0.9067972820692992,0.955177059375493
Astred,aligned source ratio,,,0.9332400846910157,0.9451083801098599,0.9462690363492006,0.9413138352124449,0.9471729227964268,0.9526403101522464,0.9522266210239787,0.9511180990069642,0.9478023138381461,0.9497501495890711,0.8689302776355783,0.9529070459511059
Astred,aligned target ratio,,,0.9142658425030531,0.9344360216419421,0.9378032840595755,0.937979438186754,0.9354494043878695,0.9420286641128891,0.9403325085111837,0.9449062963627068,0.9421846044515809,0.9432838589482992,0.9043349565310163,0.9414728941112179
Astred,aligned word pairs,,,24.549675052414027,25.051220107189955,25.136282947399597,25.12406618123429,25.06378199984651,25.56681553068085,25.55292228559119,25.420607344851465,25.58069557884323,25.53023719985205,24.973157857167713,25.443224021076748
Astred,rows eligible,,,410.0,414.0,415.0,415.0,415.0,406.0,394.0,401.0,392.0,398.0,393.0,400.0
Astred,rows excluded sentence count mismatch,,,21.0,17.0,16.0,16.0,16.0,25.0,37.0,30.0,39.0,33.0,38.0,31.0
Astred,rows failed,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Astred,rows scored,,,410.0,414.0,415.0,415.0,415.0,406.0,394.0,401.0,392.0,398.0,393.0,400.0
Astred,rows scored multisentence,,,40.0,44.0,45.0,45.0,45.0,36.0,22.0,30.0,20.0,26.0,23.0,28.0
Astred,rows total,,,431.0,431.0,431.0,431.0,431.0,431.0,431.0,431.0,431.0,431.0,431.0,431.0
Astred,sacr cross,lower means closer to reference structure,,1.3826783067420663,0.9895630895433223,0.8241756467848704,0.904509963721786,0.8096963843149985,0.6845411512238776,0.6794934492287404,0.5607938737758995,0.6798787183366416,0.6274044676781625,0.8850934924357832,0.5883010474903094
Astred,sentence pairs scored,,,450.0,458.0,460.0,460.0,460.0,442.0,416.0,431.0,412.0,424.0,416.0,428.0
Astred,seq cross,lower means closer to reference structure,,0.9914411378016533,0.7189280024134544,0.6528933655329701,0.6392920504567173,0.6071290734595685,0.510882517220416,0.5312770525942923,0.442752077581454,0.5319195346631722,0.4831902458842615,0.6952275498301146,0.45980789680537787
Astred,ted,lower means closer to reference structure,,7.440267102158332,6.208944429861476,6.162737332370707,6.334545540986213,6.026121731113089,5.4633505298180856,5.396228238505607,5.233728410135591,5.555154455669761,5.419449903990007,12.487629594951398,5.349115380418966
